Disease,disease_encoded,symptoms_text,symptoms_clean,symptom_count
Norovirus Infection,8,"vomiting, muscle aches, nausea, headache, fatigue, loss of appetite, dehydration, rashes, general discomfort, fever, irritability",vomiting muscle ache nausea headache fatigue loss appetite dehydration rash general discomfort fever irritability,11
Norovirus Infection,8,"stomach cramps, low-grade fever, abdominal pain, chills, body aches, general discomfort, irritability",stomach cramp low-grade fever abdominal pain chill body ache general discomfort irritability,7
Roseola,10,"runny nose, irritability, sore throat, headache, cough, red eyes, diarrhea, vomiting, loss of appetite, abdominal pain, body aches, chills, feverish",runny nose irritability sore throat headache cough red eye diarrhea vomiting loss appetite abdominal pain body ache chill feverish,13
Shigellosis (Bacillary Dysentery),13,"fever, diarrhea, vomiting, bloody stools, general discomfort, chills, joint pain",fever diarrhea vomiting bloody stool general discomfort chill joint pain,7
Roseola,10,"high fever, runny nose, irritability, fatigue, red eyes, abdominal pain, body aches, rashes",high fever runny nose irritability fatigue red eye abdominal pain body ache rash,8
Roseola,10,"sore throat, headache, red eyes, diarrhea, rashes",sore throat headache red eye diarrhea rash,5
Shigellosis (Bacillary Dysentery),13,"abdominal pain or cramps, diarrhea, dehydration, body aches, rashes, general discomfort, chills",abdominal pain cramp diarrhea dehydration body ache rash general discomfort chill,7
Norovirus Infection,8,"vomiting, stomach cramps, muscle aches, headache, abdominal pain, loss of appetite, sweating, rashes, general discomfort, fever, irritability",vomiting stomach cramp muscle ache headache abdominal pain loss appetite sweating rash general discomfort fever irritability,11
Roseola,10,"high fever, runny nose, swollen lymph nodes, sore throat, cough, red eyes, diarrhea, loss of appetite, body aches, chills",high fever runny nose swollen lymph node sore throat cough red eye diarrhea loss appetite body ache chill,10
Roseola,10,"fatigue, cough, red eyes, loss of appetite, abdominal pain, body aches, chills, feverish",fatigue cough red eye loss appetite abdominal pain body ache chill feverish,8
Shigellosis (Bacillary Dysentery),13,"abdominal pain or cramps, fatigue, muscle aches, body aches, feverish, general discomfort, chills",abdominal pain cramp fatigue muscle ache body ache feverish general discomfort chill,7
Common Cold,0,"watering eyes, sore throat, headache, mild fatigue, chills, watery discharge from nose that thickens and turns yellow or green",watering eye sore throat headache mild fatigue chill watery discharge nose thickens turn yellow green,6
Roseola,10,"high fever, runny nose, fatigue, swollen lymph nodes",high fever runny nose fatigue swollen lymph node,4
Roseola,10,"runny nose, rash, fatigue, headache, cough, red eyes, vomiting, body aches, rashes, chills",runny nose rash fatigue headache cough red eye vomiting body ache rash chill,10
Shigellosis (Bacillary Dysentery),13,"vomiting, bloody stools, fatigue, dehydration, loss of appetite, feverish, chills, joint pain",vomiting bloody stool fatigue dehydration loss appetite feverish chill joint pain,8
Norovirus Infection,8,"diarrhea, vomiting, nausea, abdominal pain, loss of appetite, dehydration, chills, sweating, rashes, irritability",diarrhea vomiting nausea abdominal pain loss appetite dehydration chill sweating rash irritability,10
Roseola,10,"runny nose, irritability, fatigue, swollen lymph nodes, cough, diarrhea, vomiting, abdominal pain, body aches",runny nose irritability fatigue swollen lymph node cough diarrhea vomiting abdominal pain body ache,9
Norovirus Infection,8,"vomiting, stomach cramps, muscle aches, nausea, abdominal pain, dehydration, chills, sweating, irritability",vomiting stomach cramp muscle ache nausea abdominal pain dehydration chill sweating irritability,9
Roseola,10,"rash, irritability, fatigue, sore throat, headache, cough, red eyes, diarrhea, loss of appetite, abdominal pain, body aches, rashes",rash irritability fatigue sore throat headache cough red eye diarrhea loss appetite abdominal pain body ache rash,12
Norovirus Infection,8,"stomach cramps, low-grade fever, headache, fatigue, abdominal pain, dehydration, sweating, rashes, general discomfort, fever",stomach cramp low-grade fever headache fatigue abdominal pain dehydration sweating rash general discomfort fever,10
Roseola,10,"rash, fatigue, swollen lymph nodes, headache, cough, diarrhea, abdominal pain, body aches, rashes, feverish",rash fatigue swollen lymph node headache cough diarrhea abdominal pain body ache rash feverish,10
Norovirus Infection,8,"vomiting, stomach cramps, headache, abdominal pain, loss of appetite, dehydration, chills, general discomfort, fever, irritability",vomiting stomach cramp headache abdominal pain loss appetite dehydration chill general discomfort fever irritability,10
Shigellosis (Bacillary Dysentery),13,"fever, abdominal pain or cramps, diarrhea, fatigue, loss of appetite, muscle aches, feverish",fever abdominal pain cramp diarrhea fatigue loss appetite muscle ache feverish,7
Norovirus Infection,8,"diarrhea, vomiting, muscle aches, headache, body aches, irritability",diarrhea vomiting muscle ache headache body ache irritability,6
Roseola,10,"rash, swollen lymph nodes, headache, diarrhea, loss of appetite, chills, feverish",rash swollen lymph node headache diarrhea loss appetite chill feverish,7
Mumps,7,"swollen painful salivary glands, muscle aches, tiredness, trouble chewing, testicle pain and tenderness",swollen painful salivary gland muscle ache tiredness trouble chewing testicle pain tenderness,5
Norovirus Infection,8,"diarrhea, vomiting, low-grade fever, muscle aches, nausea, fatigue, loss of appetite, dehydration, chills, general discomfort",diarrhea vomiting low-grade fever muscle ache nausea fatigue loss appetite dehydration chill general discomfort,10
Norovirus Infection,8,"diarrhea, muscle aches, nausea, headache, abdominal pain, dehydration, chills, sweating",diarrhea muscle ache nausea headache abdominal pain dehydration chill sweating,8
Shigellosis (Bacillary Dysentery),13,"fever, abdominal pain or cramps, nausea, vomiting, stomach cramps, headache, muscle aches, body aches, rashes, chills",fever abdominal pain cramp nausea vomiting stomach cramp headache muscle ache body ache rash chill,10
Norovirus Infection,8,"stomach cramps, low-grade fever, nausea, abdominal pain, loss of appetite, dehydration, chills, rashes, general discomfort, irritability",stomach cramp low-grade fever nausea abdominal pain loss appetite dehydration chill rash general discomfort irritability,10
Shigellosis (Bacillary Dysentery),13,"fever, abdominal pain or cramps, nausea, stomach cramps, fatigue, dehydration, loss of appetite, muscle aches, chills, joint pain",fever abdominal pain cramp nausea stomach cramp fatigue dehydration loss appetite muscle ache chill joint pain,10
Strep Throat,14,"sore throat, swollen lymph nodes, abdominal pain, body aches, loss of appetite",sore throat swollen lymph node abdominal pain body ache loss appetite,5
Roseola,10,"rash, irritability, fatigue, rashes, chills",rash irritability fatigue rash chill,5
Shigellosis (Bacillary Dysentery),13,"abdominal pain or cramps, diarrhea, stomach cramps, headache, fatigue, muscle aches, body aches, rashes, joint pain",abdominal pain cramp diarrhea stomach cramp headache fatigue muscle ache body ache rash joint pain,9
Roseola,10,"high fever, rash, irritability, swollen lymph nodes, headache, red eyes, diarrhea, vomiting, loss of appetite, body aches, rashes, feverish",high fever rash irritability swollen lymph node headache red eye diarrhea vomiting loss appetite body ache rash feverish,12
Roseola,10,"high fever, runny nose, irritability, fatigue, swollen lymph nodes, headache, red eyes, abdominal pain, rashes, feverish",high fever runny nose irritability fatigue swollen lymph node headache red eye abdominal pain rash feverish,10
Roseola,10,"high fever, runny nose, irritability, fatigue, swollen lymph nodes, headache, vomiting, loss of appetite, body aches, chills",high fever runny nose irritability fatigue swollen lymph node headache vomiting loss appetite body ache chill,10
Norovirus Infection,8,"diarrhea, headache, fatigue, abdominal pain, loss of appetite, chills, body aches, general discomfort, fever, irritability",diarrhea headache fatigue abdominal pain loss appetite chill body ache general discomfort fever irritability,10
Shigellosis (Bacillary Dysentery),13,"fever, bloody stools, stomach cramps, fatigue, loss of appetite, muscle aches, body aches, feverish, rashes, chills",fever bloody stool stomach cramp fatigue loss appetite muscle ache body ache feverish rash chill,10
Pertussis (Whooping Cough),9,"whooping cough, sneezing, nasal discharge, runny nose, vomiting after coughing, fatigue",whooping cough sneezing nasal discharge runny nose vomiting coughing fatigue,6
Measles,6,"high fever, red eyes, cough, small white spots inside the cheeks",high fever red eye cough small white spot inside cheek,4
Shigellosis (Bacillary Dysentery),13,"diarrhea, nausea, headache, dehydration, loss of appetite, body aches, feverish, rashes, general discomfort, joint pain",diarrhea nausea headache dehydration loss appetite body ache feverish rash general discomfort joint pain,10
Roseola,10,"rash, irritability, fatigue, diarrhea, vomiting, loss of appetite, abdominal pain, body aches, rashes, chills, feverish",rash irritability fatigue diarrhea vomiting loss appetite abdominal pain body ache rash chill feverish,11
Roseola,10,"high fever, runny nose, rash, irritability, sore throat, red eyes, diarrhea, loss of appetite, abdominal pain, chills, feverish",high fever runny nose rash irritability sore throat red eye diarrhea loss appetite abdominal pain chill feverish,11
Norovirus Infection,8,"diarrhea, stomach cramps, nausea, headache, abdominal pain, sweating, rashes, general discomfort, fever",diarrhea stomach cramp nausea headache abdominal pain sweating rash general discomfort fever,9
"Hand, Foot, and Mouth Disease",3,"fever, rash on hands and feet, sore throat, mouth sores, blisters, fatigue, cough, general discomfort",fever rash hand foot sore throat mouth sore blister fatigue cough general discomfort,8
Roseola,10,"rash, sore throat, headache, cough, red eyes, vomiting, chills",rash sore throat headache cough red eye vomiting chill,7
"Hand, Foot, and Mouth Disease",3,"rash on hands and feet, mouth sores, red spots, cough, general discomfort, difficulty swallowing",rash hand foot mouth sore red spot cough general discomfort difficulty swallowing,6
Roseola,10,"diarrhea, loss of appetite, body aches, chills",diarrhea loss appetite body ache chill,4
"Hand, Foot, and Mouth Disease",3,"fever, rash on hands and feet, loss of appetite, sore throat, mouth sores, red spots, blisters, cough, mild fever, difficulty swallowing",fever rash hand foot loss appetite sore throat mouth sore red spot blister cough mild fever difficulty swallowing,10
Norovirus Infection,8,"stomach cramps, low-grade fever, muscle aches, nausea, headache, loss of appetite, chills, fever, irritability",stomach cramp low-grade fever muscle ache nausea headache loss appetite chill fever irritability,9
Shigellosis (Bacillary Dysentery),13,"fever, abdominal pain or cramps, body aches, feverish, rashes, general discomfort, joint pain",fever abdominal pain cramp body ache feverish rash general discomfort joint pain,7
Roseola,10,"runny nose, irritability, swollen lymph nodes, sore throat, diarrhea, abdominal pain, body aches, rashes",runny nose irritability swollen lymph node sore throat diarrhea abdominal pain body ache rash,8
Roseola,10,"high fever, fatigue, swollen lymph nodes, sore throat, headache, rashes, chills, feverish",high fever fatigue swollen lymph node sore throat headache rash chill feverish,8
Shigellosis (Bacillary Dysentery),13,"fever, diarrhea, headache, loss of appetite",fever diarrhea headache loss appetite,4
Roseola,10,"high fever, runny nose, rash, fatigue, swollen lymph nodes, headache, red eyes, loss of appetite, abdominal pain",high fever runny nose rash fatigue swollen lymph node headache red eye loss appetite abdominal pain,9
Roseola,10,"fatigue, sore throat, cough, red eyes, chills",fatigue sore throat cough red eye chill,5
Roseola,10,"high fever, fatigue, swollen lymph nodes, red eyes, vomiting, abdominal pain, chills",high fever fatigue swollen lymph node red eye vomiting abdominal pain chill,7
"Hand, Foot, and Mouth Disease",3,"fever, rash on hands and feet, loss of appetite, blisters, cough, sore muscles, general discomfort, mild fever, difficulty swallowing",fever rash hand foot loss appetite blister cough sore muscle general discomfort mild fever difficulty swallowing,9
Shigellosis (Bacillary Dysentery),13,"nausea, bloody stools, headache, body aches, rashes, chills, joint pain",nausea bloody stool headache body ache rash chill joint pain,7
Roseola,10,"high fever, runny nose, rash, irritability, swollen lymph nodes, sore throat, headache, cough, diarrhea, loss of appetite",high fever runny nose rash irritability swollen lymph node sore throat headache cough diarrhea loss appetite,10
Shigellosis (Bacillary Dysentery),13,"diarrhea, vomiting, bloody stools, muscle aches, body aches, rashes, chills",diarrhea vomiting bloody stool muscle ache body ache rash chill,7
Norovirus Infection,8,"abdominal pain, dehydration, rashes, general discomfort, fever",abdominal pain dehydration rash general discomfort fever,5
Norovirus Infection,8,"diarrhea, stomach cramps, nausea, headache, sweating, general discomfort, fever, irritability",diarrhea stomach cramp nausea headache sweating general discomfort fever irritability,8
Roseola,10,"high fever, rash, swollen lymph nodes, sore throat, red eyes, diarrhea, vomiting, loss of appetite, abdominal pain, body aches, rashes, chills",high fever rash swollen lymph node sore throat red eye diarrhea vomiting loss appetite abdominal pain body ache rash chill,12
Shigellosis (Bacillary Dysentery),13,"abdominal pain or cramps, nausea, stomach cramps, dehydration, loss of appetite, muscle aches, body aches, feverish, rashes, chills, joint pain",abdominal pain cramp nausea stomach cramp dehydration loss appetite muscle ache body ache feverish rash chill joint pain,11
Norovirus Infection,8,"diarrhea, vomiting, stomach cramps, headache, abdominal pain, sweating, rashes, general discomfort, irritability",diarrhea vomiting stomach cramp headache abdominal pain sweating rash general discomfort irritability,9
Roseola,10,"fatigue, swollen lymph nodes, sore throat, red eyes, diarrhea, vomiting, abdominal pain, body aches, feverish",fatigue swollen lymph node sore throat red eye diarrhea vomiting abdominal pain body ache feverish,9
Roseola,10,"high fever, runny nose, rash, swollen lymph nodes, sore throat, headache, diarrhea, vomiting, rashes, chills, feverish",high fever runny nose rash swollen lymph node sore throat headache diarrhea vomiting rash chill feverish,11
Roseola,10,"high fever, irritability, fatigue, headache, cough, red eyes, body aches, rashes, feverish",high fever irritability fatigue headache cough red eye body ache rash feverish,9
Roseola,10,"high fever, runny nose, swollen lymph nodes, chills, feverish",high fever runny nose swollen lymph node chill feverish,5
Shigellosis (Bacillary Dysentery),13,"fever, diarrhea, vomiting, headache, fatigue, body aches, general discomfort, chills",fever diarrhea vomiting headache fatigue body ache general discomfort chill,8
Roseola,10,"high fever, runny nose, irritability, cough, red eyes, vomiting, loss of appetite, rashes, chills, feverish",high fever runny nose irritability cough red eye vomiting loss appetite rash chill feverish,10
Shigellosis (Bacillary Dysentery),13,"fever, nausea, bloody stools, fatigue, muscle aches, body aches, general discomfort, chills",fever nausea bloody stool fatigue muscle ache body ache general discomfort chill,8
Roseola,10,"runny nose, rash, fatigue, cough, red eyes, diarrhea, vomiting, abdominal pain, rashes, chills, feverish",runny nose rash fatigue cough red eye diarrhea vomiting abdominal pain rash chill feverish,11
Norovirus Infection,8,"low-grade fever, muscle aches, nausea, abdominal pain, sweating, general discomfort, fever",low-grade fever muscle ache nausea abdominal pain sweating general discomfort fever,7
Norovirus Infection,8,"diarrhea, low-grade fever, muscle aches, headache, fatigue, dehydration, body aches, fever, irritability",diarrhea low-grade fever muscle ache headache fatigue dehydration body ache fever irritability,9
"Hand, Foot, and Mouth Disease",3,"sores in mouth, rash on hands and feet, loss of appetite, irritability, mouth sores, sore muscles, headache, mild fever",sore mouth rash hand foot loss appetite irritability mouth sore sore muscle headache mild fever,8
Norovirus Infection,8,"muscle aches, nausea, fatigue, loss of appetite, chills, body aches, rashes, fever",muscle ache nausea fatigue loss appetite chill body ache rash fever,8
Roseola,10,"fatigue, swollen lymph nodes, sore throat, headache, cough, loss of appetite, rashes, chills, feverish",fatigue swollen lymph node sore throat headache cough loss appetite rash chill feverish,9
Norovirus Infection,8,"diarrhea, stomach cramps, low-grade fever, muscle aches, nausea, abdominal pain, loss of appetite, dehydration, chills, sweating, body aches, general discomfort, fever, irritability",diarrhea stomach cramp low-grade fever muscle ache nausea abdominal pain loss appetite dehydration chill sweating body ache general discomfort fever irritability,14
Norovirus Infection,8,"vomiting, stomach cramps, headache, loss of appetite, dehydration, sweating, rashes, general discomfort",vomiting stomach cramp headache loss appetite dehydration sweating rash general discomfort,8
Shigellosis (Bacillary Dysentery),13,"fever, abdominal pain or cramps, stomach cramps, fatigue, dehydration, feverish, rashes, joint pain",fever abdominal pain cramp stomach cramp fatigue dehydration feverish rash joint pain,8
Shigellosis (Bacillary Dysentery),13,"fever, stomach cramps, fatigue, dehydration, body aches, feverish, rashes, general discomfort, chills",fever stomach cramp fatigue dehydration body ache feverish rash general discomfort chill,9
Roseola,10,"irritability, fatigue, swollen lymph nodes, vomiting, loss of appetite, abdominal pain, rashes",irritability fatigue swollen lymph node vomiting loss appetite abdominal pain rash,7
Norovirus Infection,8,"vomiting, stomach cramps, nausea, fatigue, loss of appetite, chills, body aches, rashes",vomiting stomach cramp nausea fatigue loss appetite chill body ache rash,8
Norovirus Infection,8,"diarrhea, low-grade fever, nausea, loss of appetite, chills, sweating, fever, irritability",diarrhea low-grade fever nausea loss appetite chill sweating fever irritability,8
Pertussis (Whooping Cough),9,"whooping cough, fever, cyanosis, vomiting after coughing",whooping cough fever cyanosis vomiting coughing,4
Shigellosis (Bacillary Dysentery),13,"fever, diarrhea, nausea, stomach cramps, fatigue, dehydration, feverish, rashes, joint pain",fever diarrhea nausea stomach cramp fatigue dehydration feverish rash joint pain,9
Norovirus Infection,8,"diarrhea, vomiting, stomach cramps, muscle aches, nausea, body aches, fever, irritability",diarrhea vomiting stomach cramp muscle ache nausea body ache fever irritability,8
Roseola,10,"runny nose, irritability, sore throat, red eyes, diarrhea, loss of appetite, body aches, feverish",runny nose irritability sore throat red eye diarrhea loss appetite body ache feverish,8
Roseola,10,"irritability, headache, cough, diarrhea, vomiting, loss of appetite, abdominal pain, chills",irritability headache cough diarrhea vomiting loss appetite abdominal pain chill,8
Shigellosis (Bacillary Dysentery),13,"fever, diarrhea, headache, fatigue, general discomfort, chills, joint pain",fever diarrhea headache fatigue general discomfort chill joint pain,7
Shigellosis (Bacillary Dysentery),13,"fever, diarrhea, nausea, vomiting, bloody stools, stomach cramps, headache, dehydration, loss of appetite, muscle aches, feverish, rashes",fever diarrhea nausea vomiting bloody stool stomach cramp headache dehydration loss appetite muscle ache feverish rash,12
Roseola,10,"rash, fatigue, sore throat, headache, cough, vomiting, abdominal pain, body aches, feverish",rash fatigue sore throat headache cough vomiting abdominal pain body ache feverish,9
Roseola,10,"irritability, sore throat, cough, diarrhea, vomiting, loss of appetite, body aches, rashes, chills",irritability sore throat cough diarrhea vomiting loss appetite body ache rash chill,9
Norovirus Infection,8,"diarrhea, vomiting, muscle aches, dehydration, chills, sweating, body aches, general discomfort",diarrhea vomiting muscle ache dehydration chill sweating body ache general discomfort,8
Shigellosis (Bacillary Dysentery),13,"nausea, headache, loss of appetite, muscle aches, feverish, joint pain",nausea headache loss appetite muscle ache feverish joint pain,6
Roseola,10,"high fever, irritability, fatigue, sore throat, red eyes, vomiting, abdominal pain, chills",high fever irritability fatigue sore throat red eye vomiting abdominal pain chill,8
Roseola,10,"high fever, runny nose, rash, irritability, fatigue, sore throat, headache, diarrhea, vomiting, rashes, chills",high fever runny nose rash irritability fatigue sore throat headache diarrhea vomiting rash chill,11
Shigellosis (Bacillary Dysentery),13,"abdominal pain or cramps, bloody stools, stomach cramps, body aches, general discomfort, joint pain",abdominal pain cramp bloody stool stomach cramp body ache general discomfort joint pain,6
Norovirus Infection,8,"diarrhea, vomiting, stomach cramps, muscle aches, nausea, fatigue, abdominal pain, dehydration, rashes, general discomfort, irritability",diarrhea vomiting stomach cramp muscle ache nausea fatigue abdominal pain dehydration rash general discomfort irritability,11
Norovirus Infection,8,"vomiting, low-grade fever, muscle aches, nausea, headache, abdominal pain, dehydration, chills, body aches, fever, irritability",vomiting low-grade fever muscle ache nausea headache abdominal pain dehydration chill body ache fever irritability,11
Shigellosis (Bacillary Dysentery),13,"diarrhea, nausea, headache, fatigue, body aches, feverish, joint pain",diarrhea nausea headache fatigue body ache feverish joint pain,7
Norovirus Infection,8,"diarrhea, fatigue, abdominal pain, loss of appetite, sweating, body aches, fever",diarrhea fatigue abdominal pain loss appetite sweating body ache fever,7
Shigellosis (Bacillary Dysentery),13,"abdominal pain or cramps, diarrhea, nausea, stomach cramps, dehydration, body aches, feverish, general discomfort, chills",abdominal pain cramp diarrhea nausea stomach cramp dehydration body ache feverish general discomfort chill,9
Norovirus Infection,8,"vomiting, muscle aches, nausea, fatigue, dehydration, chills, rashes, general discomfort, irritability",vomiting muscle ache nausea fatigue dehydration chill rash general discomfort irritability,9
Shigellosis (Bacillary Dysentery),13,"nausea, bloody stools, dehydration, muscle aches, body aches, feverish, chills",nausea bloody stool dehydration muscle ache body ache feverish chill,7
Roseola,10,"runny nose, rash, sore throat, red eyes, loss of appetite, body aches, rashes, chills, feverish",runny nose rash sore throat red eye loss appetite body ache rash chill feverish,9
Norovirus Infection,8,"diarrhea, vomiting, stomach cramps, nausea, headache, fatigue, abdominal pain, general discomfort, irritability",diarrhea vomiting stomach cramp nausea headache fatigue abdominal pain general discomfort irritability,9
"Hand, Foot, and Mouth Disease",3,"rash on hands and feet, mouth sores, cough, headache",rash hand foot mouth sore cough headache,4
Roseola,10,"sore throat, vomiting, abdominal pain, body aches",sore throat vomiting abdominal pain body ache,4
Roseola,10,"runny nose, rash, fatigue, sore throat, headache, cough, vomiting, abdominal pain, body aches, feverish",runny nose rash fatigue sore throat headache cough vomiting abdominal pain body ache feverish,10
Roseola,10,"high fever, irritability, sore throat, headache, cough, red eyes, diarrhea, vomiting, loss of appetite, abdominal pain, rashes",high fever irritability sore throat headache cough red eye diarrhea vomiting loss appetite abdominal pain rash,11
Norovirus Infection,8,"low-grade fever, muscle aches, headache, fatigue, abdominal pain, loss of appetite, rashes, irritability",low-grade fever muscle ache headache fatigue abdominal pain loss appetite rash irritability,8
Roseola,10,"rash, fatigue, sore throat, headache, cough, red eyes, diarrhea, loss of appetite, abdominal pain, rashes, feverish",rash fatigue sore throat headache cough red eye diarrhea loss appetite abdominal pain rash feverish,11
Roseola,10,"high fever, runny nose, rash, irritability, fatigue, swollen lymph nodes, sore throat, headache, rashes, chills, feverish",high fever runny nose rash irritability fatigue swollen lymph node sore throat headache rash chill feverish,11
Shigellosis (Bacillary Dysentery),13,"headache, feverish, general discomfort, joint pain",headache feverish general discomfort joint pain,4
Shigellosis (Bacillary Dysentery),13,"diarrhea, nausea, stomach cramps, headache, body aches, general discomfort",diarrhea nausea stomach cramp headache body ache general discomfort,6
Shigellosis (Bacillary Dysentery),13,"fever, abdominal pain or cramps, nausea, stomach cramps, headache, fatigue, dehydration, feverish, general discomfort, chills",fever abdominal pain cramp nausea stomach cramp headache fatigue dehydration feverish general discomfort chill,10
Norovirus Infection,8,"diarrhea, vomiting, muscle aches, fatigue, loss of appetite, dehydration, chills, body aches, fever, irritability",diarrhea vomiting muscle ache fatigue loss appetite dehydration chill body ache fever irritability,10
Shigellosis (Bacillary Dysentery),13,"nausea, fatigue, dehydration, loss of appetite, body aches",nausea fatigue dehydration loss appetite body ache,5
Norovirus Infection,8,"diarrhea, vomiting, low-grade fever, headache, fatigue, abdominal pain, loss of appetite, body aches, rashes, general discomfort, fever",diarrhea vomiting low-grade fever headache fatigue abdominal pain loss appetite body ache rash general discomfort fever,11
Shigellosis (Bacillary Dysentery),13,"abdominal pain or cramps, diarrhea, vomiting, stomach cramps, headache, fatigue, muscle aches, body aches, rashes, general discomfort",abdominal pain cramp diarrhea vomiting stomach cramp headache fatigue muscle ache body ache rash general discomfort,10
Scarlet Fever,12,"sore throat, red lines in body folds, pale skin around lips, nausea or vomiting, abdominal pain",sore throat red line body fold pale skin around lip nausea vomiting abdominal pain,5
Roseola,10,"high fever, rash, irritability, swollen lymph nodes, sore throat, headache, cough, diarrhea, abdominal pain, body aches",high fever rash irritability swollen lymph node sore throat headache cough diarrhea abdominal pain body ache,10
Roseola,10,"rash, diarrhea, vomiting, loss of appetite, rashes, feverish",rash diarrhea vomiting loss appetite rash feverish,6
Shigellosis (Bacillary Dysentery),13,"diarrhea, headache, dehydration, loss of appetite, feverish, rashes, chills, joint pain",diarrhea headache dehydration loss appetite feverish rash chill joint pain,8
Roseola,10,"runny nose, rash, irritability, sore throat, headache, cough, vomiting, body aches, chills",runny nose rash irritability sore throat headache cough vomiting body ache chill,9
Roseola,10,"high fever, irritability, fatigue, swollen lymph nodes, sore throat, diarrhea, vomiting, body aches, rashes",high fever irritability fatigue swollen lymph node sore throat diarrhea vomiting body ache rash,9
Shigellosis (Bacillary Dysentery),13,"abdominal pain or cramps, vomiting, bloody stools, stomach cramps, fatigue, dehydration, loss of appetite, general discomfort",abdominal pain cramp vomiting bloody stool stomach cramp fatigue dehydration loss appetite general discomfort,8
Roseola,10,"high fever, rash, irritability, sore throat, red eyes, abdominal pain, body aches, feverish",high fever rash irritability sore throat red eye abdominal pain body ache feverish,8
"Hand, Foot, and Mouth Disease",3,"sores in mouth, irritability, sore throat, mouth sores, cough, headache, general discomfort, difficulty swallowing",sore mouth irritability sore throat mouth sore cough headache general discomfort difficulty swallowing,8
Norovirus Infection,8,"low-grade fever, muscle aches, fatigue, dehydration, chills, general discomfort, fever",low-grade fever muscle ache fatigue dehydration chill general discomfort fever,7
Shigellosis (Bacillary Dysentery),13,"diarrhea, stomach cramps, fatigue, loss of appetite, feverish, rashes, general discomfort, chills, joint pain",diarrhea stomach cramp fatigue loss appetite feverish rash general discomfort chill joint pain,9
Norovirus Infection,8,"low-grade fever, muscle aches, nausea, fatigue, abdominal pain, loss of appetite, dehydration, body aches, rashes",low-grade fever muscle ache nausea fatigue abdominal pain loss appetite dehydration body ache rash,9
Shigellosis (Bacillary Dysentery),13,"fever, abdominal pain or cramps, diarrhea, nausea, vomiting, bloody stools, loss of appetite, rashes",fever abdominal pain cramp diarrhea nausea vomiting bloody stool loss appetite rash,8
Roseola,10,"high fever, irritability, fatigue, sore throat, headache, loss of appetite, feverish",high fever irritability fatigue sore throat headache loss appetite feverish,7
Roseola,10,"runny nose, cough, red eyes, abdominal pain, rashes, feverish",runny nose cough red eye abdominal pain rash feverish,6
Shigellosis (Bacillary Dysentery),13,"abdominal pain or cramps, bloody stools, stomach cramps, fatigue, dehydration, muscle aches, body aches, rashes, general discomfort, chills",abdominal pain cramp bloody stool stomach cramp fatigue dehydration muscle ache body ache rash general discomfort chill,10
Shigellosis (Bacillary Dysentery),13,"abdominal pain or cramps, diarrhea, nausea, headache, dehydration, muscle aches, rashes, chills, joint pain",abdominal pain cramp diarrhea nausea headache dehydration muscle ache rash chill joint pain,9
Roseola,10,"runny nose, irritability, sore throat, headache, cough, red eyes, vomiting, loss of appetite, chills, feverish",runny nose irritability sore throat headache cough red eye vomiting loss appetite chill feverish,10
Shigellosis (Bacillary Dysentery),13,"abdominal pain or cramps, nausea, bloody stools, fatigue, body aches, feverish, rashes, joint pain",abdominal pain cramp nausea bloody stool fatigue body ache feverish rash joint pain,8
Shigellosis (Bacillary Dysentery),13,"fever, bloody stools, headache, fatigue, dehydration, loss of appetite, body aches, chills",fever bloody stool headache fatigue dehydration loss appetite body ache chill,8
Roseola,10,"fatigue, swollen lymph nodes, sore throat, headache, cough, diarrhea, abdominal pain, body aches, chills, feverish",fatigue swollen lymph node sore throat headache cough diarrhea abdominal pain body ache chill feverish,10
Norovirus Infection,8,"diarrhea, vomiting, stomach cramps, muscle aches, nausea, loss of appetite, chills, sweating, rashes, general discomfort, fever",diarrhea vomiting stomach cramp muscle ache nausea loss appetite chill sweating rash general discomfort fever,11
Norovirus Infection,8,"vomiting, stomach cramps, low-grade fever, muscle aches, nausea, headache, loss of appetite, dehydration, chills, sweating, body aches, general discomfort, fever",vomiting stomach cramp low-grade fever muscle ache nausea headache loss appetite dehydration chill sweating body ache general discomfort fever,13
Roseola,10,"high fever, rash, red eyes, vomiting, loss of appetite, abdominal pain, body aches, rashes, chills",high fever rash red eye vomiting loss appetite abdominal pain body ache rash chill,9
Norovirus Infection,8,"diarrhea, muscle aches, headache, fatigue, abdominal pain, dehydration, body aches, rashes, general discomfort, fever, irritability",diarrhea muscle ache headache fatigue abdominal pain dehydration body ache rash general discomfort fever irritability,11
Shigellosis (Bacillary Dysentery),13,"abdominal pain or cramps, diarrhea, headache, fatigue, dehydration, loss of appetite, body aches",abdominal pain cramp diarrhea headache fatigue dehydration loss appetite body ache,7
Norovirus Infection,8,"diarrhea, low-grade fever, nausea, rashes",diarrhea low-grade fever nausea rash,4
Shigellosis (Bacillary Dysentery),13,"fever, diarrhea, headache, dehydration, loss of appetite, muscle aches, general discomfort, chills",fever diarrhea headache dehydration loss appetite muscle ache general discomfort chill,8
"Hand, Foot, and Mouth Disease",3,"fever, sores in mouth, rash on hands and feet, loss of appetite, irritability, sore throat, red spots, blisters, fatigue, sore muscles, headache, mild fever, difficulty swallowing",fever sore mouth rash hand foot loss appetite irritability sore throat red spot blister fatigue sore muscle headache mild fever difficulty swallowing,13
