drug_name,drug_name_clean,medical_condition,medical_condition_clean,generic_name,drug_classes,input_text,input_text_clean,side_effects_clean,side_effects_count
oxazepam,oxazepam,Anxiety,anxiety,oxazepam,Benzodiazepines,oxazepam anxiety oxazepam benzodiazepines,oxazepam anxiety oxazepam benzodiazepine,"drowsiness, dizziness, spinning sensation, headache",4
Paxil CR,paxil cr,Anxiety,anxiety,paroxetine,Selective serotonin reuptake inhibitors,paxil cr anxiety paroxetine selective serotonin reuptake inhibitors,paxil cr anxiety paroxetine selective serotonin reuptake inhibitor,"nausea, vomiting, diarrhea, headache, dizziness, itching, drowsiness, insomnia, constipation, dry mouth, fever, cough, swelling, bleeding, bruising, tremor, anxiety, confusion, blurred vision",19
amitriptyline / perphenazine,amitriptyline / perphenazine,Anxiety,anxiety,amitriptyline and perphenazine,Psychotherapeutic combinations,amitriptyline / perphenazine anxiety amitriptyline and perphenazine psychotherapeutic combinations,amitriptyline perphenazine anxiety amitriptyline perphenazine psychotherapeutic combination,"headache, drowsiness, dry mouth, fever, cough, swelling, bleeding, bruising, chest pain, tremor, anxiety, confusion",12
chlordiazepoxide,chlordiazepoxide,Anxiety,anxiety,chlordiazepoxide,Benzodiazepines,chlordiazepoxide anxiety chlordiazepoxide benzodiazepines,chlordiazepoxide anxiety chlordiazepoxide benzodiazepine,"drowsiness, confusion, balance problems",3
Diazepam Intensol,diazepam intensol,Anxiety,anxiety,diazepam (oral route),"Benzodiazepine anticonvulsants, Benzodiazepines","diazepam intensol anxiety diazepam (oral route) benzodiazepine anticonvulsants, benzodiazepines",diazepam intensol anxiety diazepam benzodiazepine anticonvulsant benzodiazepine,"nausea, vomiting, diarrhea, headache, dizziness, rash, itching, drowsiness, constipation, dry mouth, fever, cough, stomach pain, muscle pain, bleeding, bruising, appetite loss, confusion, blurred vision",19
Loreev XR,loreev xr,Anxiety,anxiety,lorazepam (oral),Benzodiazepines,loreev xr anxiety lorazepam (oral) benzodiazepines,loreev xr anxiety lorazepam benzodiazepine,"dizziness, drowsiness, swelling, anxiety, depression, confusion",6
oxcarbazepine,oxcarbazepine,Anxiety,anxiety,oxcarbazepine,Dibenzazepine anticonvulsants,oxcarbazepine anxiety oxcarbazepine dibenzazepine anticonvulsants,oxcarbazepine anxiety oxcarbazepine dibenzazepine anticonvulsant,"dizziness, drowsiness, tiredness, balance, coordination problems, nausea, vomiting, tremors, shaking, double vision, rash",11
Pexeva,pexeva,Anxiety,anxiety,paroxetine,Selective serotonin reuptake inhibitors,pexeva anxiety paroxetine selective serotonin reuptake inhibitors,pexeva anxiety paroxetine selective serotonin reuptake inhibitor,"vision changes, weakness, drowsiness, dizziness, tiredness, sweating, anxiety, shaking, sleep problems, loss of appetite, nausea, vomiting, diarrhea, constipation, dry mouth, yawning, infection, headache, decreased sex drive, impotence, abnormal ejaculation, difficulty having an orgasm",22
phenytoin,phenytoin,Anxiety,anxiety,phenytoin (oral),"Group I antiarrhythmics, Hydantoin anticonvulsants","phenytoin anxiety phenytoin (oral) group i antiarrhythmics, hydantoin anticonvulsants",phenytoin anxiety phenytoin group antiarrhythmic hydantoin anticonvulsant,"drowsiness, confusion, slurred speech, abnormal eye movement, problems with balance, coordination, muscle movement",7
prochlorperazine,prochlorperazine,Anxiety,anxiety,prochlorperazine (oral/injection),"Phenothiazine antiemetics, Phenothiazine antipsychotics","prochlorperazine anxiety prochlorperazine (oral/injection) phenothiazine antiemetics, phenothiazine antipsychotics",prochlorperazine anxiety prochlorperazine phenothiazine antiemetic phenothiazine antipsychotic,"headache, dizziness, drowsiness, dry mouth, stuffy nose, nausea, constipation, increased appetite, weight gain, blurred vision, agitation, feeling jittery, trouble sleeping, skin redness, itching, rash, missed menstrual periods, impotence, abnormal ejaculation",19
amitriptyline / chlordiazepoxide,amitriptyline / chlordiazepoxide,Anxiety,anxiety,amitriptyline and chlordiazepoxide,Psychotherapeutic combinations,amitriptyline / chlordiazepoxide anxiety amitriptyline and chlordiazepoxide psychotherapeutic combinations,amitriptyline chlordiazepoxide anxiety amitriptyline chlordiazepoxide psychotherapeutic combination,"dizziness, drowsiness, constipation, dry mouth, swelling, chest pain, anxiety, confusion, blurred vision",9
Compro,compro,Anxiety,anxiety,prochlorperazine (rectal),"Phenothiazine antiemetics, Phenothiazine antipsychotics","compro anxiety prochlorperazine (rectal) phenothiazine antiemetics, phenothiazine antipsychotics",compro anxiety prochlorperazine phenothiazine antiemetic phenothiazine antipsychotic,"dizziness, drowsiness, feeling restless, jittery, blurred vision, constipation, breast swelling, discharge, a missed menstrual period, sleep problems, swelling in your hands, feet",12
meprobamate,meprobamate,Anxiety,anxiety,meprobamate,"Miscellaneous anxiolytics, sedatives and hypnotics","meprobamate anxiety meprobamate miscellaneous anxiolytics, sedatives and hypnotics",meprobamate anxiety meprobamate miscellaneous anxiolytic sedative hypnotic,"drowsiness, weakness, problems with balance, muscle movement, headache, dizziness, bruising, numbness, tingling, blurred vision, nausea, vomiting, diarrhea",13
nefazodone,nefazodone,Anxiety,anxiety,nefazodone,Phenylpiperazine antidepressants,nefazodone anxiety nefazodone phenylpiperazine antidepressants,nefazodone anxiety nefazodone phenylpiperazine antidepressant,"drowsiness, dizziness, weakness, vision problems, nausea, constipation, confusion, agitation, dry mouth",9
Tranxene T-Tab,tranxene t-tab,Anxiety,anxiety,clorazepate,Benzodiazepines,tranxene t-tab anxiety clorazepate benzodiazepines,tranxene t-tab anxiety clorazepate benzodiazepine,"dizziness, drowsiness, dry mouth, swelling, anxiety, depression, confusion, blurred vision",8
trifluoperazine,trifluoperazine,Anxiety,anxiety,trifluoperazine,Phenothiazine antipsychotics,trifluoperazine anxiety trifluoperazine phenothiazine antipsychotics,trifluoperazine anxiety trifluoperazine phenothiazine antipsychotic,"dizziness, drowsiness, tiredness, blurred vision, dry mouth, loss of appetite, sleep problems, muscle weakness, itching, rash, missed menstrual periods, breast swelling, discharge",13
vilazodone,vilazodone,Anxiety,anxiety,vilazodone,Miscellaneous antidepressants,vilazodone anxiety vilazodone miscellaneous antidepressants,vilazodone anxiety vilazodone miscellaneous antidepressant,"nausea, vomiting, diarrhea, sleep problems",4
Singulair,singulair,Asthma,asthma,montelukast,Leukotriene modifiers,singulair asthma montelukast leukotriene modifiers,singulair asthma montelukast leukotriene modifier,"stomach pain, diarrhea, fever, other flu symptoms, ear pain, full feeling, trouble hearing, headache, cold symptoms such as runny, stuffy nose, sinus pain, cough, sore throat",13
montelukast,montelukast,Asthma,asthma,montelukast,Leukotriene modifiers,montelukast asthma montelukast leukotriene modifiers,montelukast asthma montelukast leukotriene modifier,"stomach pain, diarrhea, fever, other flu symptoms, ear pain, full feeling, trouble hearing, headache, cold symptoms such as runny, stuffy nose, sinus pain, cough, sore throat",13
prednisone,prednisone,Asthma,asthma,prednisone,Glucocorticoids,prednisone asthma prednisone glucocorticoids,prednisone asthma prednisone glucocorticoid,"sleep problems, mood changes, increased appetite, gradual weight gain, acne, increased sweating, dry skin, thinning skin, bruising, discoloration, slow wound healing, headache, dizziness, spinning sensation, nausea, stomach pain, bloating, changes in the shape, location of body fat",19
Trelegy Ellipta,trelegy ellipta,Asthma,asthma,"fluticasone, umeclidinium, and vilanterol",Bronchodilator combinations,"trelegy ellipta asthma fluticasone, umeclidinium, and vilanterol bronchodilator combinations",trelegy ellipta asthma fluticasone umeclidinium vilanterol bronchodilator combination,"nausea, vomiting, diarrhea, headache, constipation, dry mouth, fever, cough, joint pain, swelling, chest pain, back pain, tremor, blurred vision",14
Fasenra,fasenra,Asthma,asthma,benralizumab,Interleukin inhibitors,fasenra asthma benralizumab interleukin inhibitors,fasenra asthma benralizumab interleukin inhibitor,"sore throat, headache",2
Nucala,nucala,Asthma,asthma,mepolizumab,Interleukin inhibitors,nucala asthma mepolizumab interleukin inhibitors,nucala asthma mepolizumab interleukin inhibitor,"headache, feeling tired, back pain, pain, swelling, redness, burning, itching where the medicine was injected",8
benralizumab,benralizumab,Asthma,asthma,benralizumab Brand name: Fasenra,Interleukin inhibitors,benralizumab asthma benralizumab brand name: fasenra interleukin inhibitors,benralizumab asthma benralizumab brand name fasenra interleukin inhibitor,headache and sore throat,1
fluticasone / umeclidinium / vilanterol,fluticasone / umeclidinium / vilanterol,Asthma,asthma,"fluticasone, umeclidinium, and vilanterol",Bronchodilator combinations,"fluticasone / umeclidinium / vilanterol asthma fluticasone, umeclidinium, and vilanterol bronchodilator combinations",fluticasone umeclidinium vilanterol asthma fluticasone umeclidinium vilanterol bronchodilator combination,"nausea, vomiting, diarrhea, headache, constipation, dry mouth, fever, cough, joint pain, swelling, chest pain, back pain, tremor, blurred vision",14
mepolizumab,mepolizumab,Asthma,asthma,mepolizumab,Interleukin inhibitors,mepolizumab asthma mepolizumab interleukin inhibitors,mepolizumab asthma mepolizumab interleukin inhibitor,"headache, feeling tired, back pain, pain, swelling, redness, burning, itching where the medicine was injected",8
tezepelumab,tezepelumab,Asthma,asthma,tezepelumab,Selective immunosuppressants,tezepelumab asthma tezepelumab selective immunosuppressants,tezepelumab asthma tezepelumab selective immunosuppressant,"sore throat, joint, back pain",3
Tezspire,tezspire,Asthma,asthma,tezepelumab-ekko,Selective immunosuppressants,tezspire asthma tezepelumab-ekko selective immunosuppressants,tezspire asthma tezepelumab-ekko selective immunosuppressant,"rash, joint pain, back pain",3
Dulera,dulera,Asthma,asthma,formoterol and mometasone,Bronchodilator combinations,dulera asthma formoterol and mometasone bronchodilator combinations,dulera asthma formoterol mometasone bronchodilator combination,"runny, stuffy nose, sinus pain, headache, cough, sore throat",6
Atrovent,atrovent,Asthma,asthma,ipratropium (inhalation route),Anticholinergic bronchodilators,atrovent asthma ipratropium (inhalation route) anticholinergic bronchodilators,atrovent asthma ipratropium anticholinergic bronchodilator,"nausea, vomiting, diarrhea, headache, dizziness, rash, itching, constipation, fever, cough, joint pain, swelling, skin rash, back pain, confusion, blurred vision",16
Breo Ellipta,breo ellipta,Asthma,asthma,fluticasone and vilanterol,Bronchodilator combinations,breo ellipta asthma fluticasone and vilanterol bronchodilator combinations,breo ellipta asthma fluticasone vilanterol bronchodilator combination,"nausea, vomiting, headache, constipation, dry mouth, fever, cough, joint pain, swelling, chest pain, back pain, blurred vision",12
ipratropium,ipratropium,Asthma,asthma,ipratropium inhalation,Anticholinergic bronchodilators,ipratropium asthma ipratropium inhalation anticholinergic bronchodilators,ipratropium asthma ipratropium inhalation anticholinergic bronchodilator,"headache, cough, swelling, blurred vision",4
methylprednisolone,methylprednisolone,Asthma,asthma,methylprednisolone (oral),Glucocorticoids,methylprednisolone asthma methylprednisolone (oral) glucocorticoids,methylprednisolone asthma methylprednisolone glucocorticoid,"fluid retention swelling in your hands, ankles, dizziness, spinning sensation, changes in your menstrual periods, headache, mild muscle pain, weakness, stomach discomfort, bloating",10
Atrovent HFA,atrovent hfa,Asthma,asthma,ipratropium inhalation,Anticholinergic bronchodilators,atrovent hfa asthma ipratropium inhalation anticholinergic bronchodilators,atrovent hfa asthma ipratropium inhalation anticholinergic bronchodilator,"nausea, headache, dizziness, constipation, dry mouth, fever, cough, swelling, back pain, blurred vision",10
dexamethasone,dexamethasone,Asthma,asthma,dexamethasone (oral),Glucocorticoids,dexamethasone asthma dexamethasone (oral) glucocorticoids,dexamethasone asthma dexamethasone glucocorticoid,"fluid retention swelling in your hands, ankles, increased appetite, mood changes, trouble sleeping, skin rash, bruising, discoloration, acne, increased sweating, increased hair growth, headache, dizziness, nausea, vomiting, upset stomach, changes in your menstrual periods, changes in the shape, location of body fat",19
Alvesco,alvesco,Asthma,asthma,ciclesonide (inhalation),Inhaled corticosteroids,alvesco asthma ciclesonide (inhalation) inhaled corticosteroids,alvesco asthma ciclesonide inhaled corticosteroid,"unpleasant taste in your mouth, dry mouth, burning, irritation in your mouth, runny, stuffy nose, sore throat, hoarse voice, mild itching, skin rash, joint pain, back pain, headache",13
levalbuterol,levalbuterol,Asthma,asthma,levalbuterol inhalation,Adrenergic bronchodilators,levalbuterol asthma levalbuterol inhalation adrenergic bronchodilators,levalbuterol asthma levalbuterol inhalation adrenergic bronchodilator,"vomiting, dizziness, constipation, swelling, chest pain, tremor",6
Ipratropium Inhalation Solution,ipratropium inhalation solution,Asthma,asthma,Ipratropium Inhalation Solution,Anticholinergic bronchodilators,ipratropium inhalation solution asthma ipratropium inhalation solution anticholinergic bronchodilators,ipratropium inhalation solution asthma ipratropium inhalation solution anticholinergic bronchodilator,"dizziness, rash, itching, fever, cough, stomach pain, swelling",7
Rayos,rayos,Asthma,asthma,prednisone,Glucocorticoids,rayos asthma prednisone glucocorticoids,rayos asthma prednisone glucocorticoid,"weight gain especially in your face, your upper back and torso, increased appetite, mood changes, trouble sleeping, changes in your menstrual periods, problems with memory, thought, muscle, joint pain, weakness, headache, dizziness, spinning sensation, nausea, bloating, loss of appetite, slow wound healing, acne, increased sweating, thinning skin, bruising, pinpoint spots under your skin",23
fluticasone / vilanterol,fluticasone / vilanterol,Asthma,asthma,fluticasone and vilanterol,Bronchodilator combinations,fluticasone / vilanterol asthma fluticasone and vilanterol bronchodilator combinations,fluticasone vilanterol asthma fluticasone vilanterol bronchodilator combination,"nausea, vomiting, headache, constipation, dry mouth, fever, cough, joint pain, swelling, chest pain, back pain, blurred vision",12
formoterol / mometasone,formoterol / mometasone,Asthma,asthma,formoterol and mometasone,Bronchodilator combinations,formoterol / mometasone asthma formoterol and mometasone bronchodilator combinations,formoterol mometasone asthma formoterol mometasone bronchodilator combination,"nausea, vomiting, headache, constipation, dry mouth, fever, cough, swelling, chest pain, tremor, blurred vision",11
Medrol,medrol,Asthma,asthma,methylprednisolone (oral),Glucocorticoids,medrol asthma methylprednisolone (oral) glucocorticoids,medrol asthma methylprednisolone glucocorticoid,"fluid retention swelling in your hands, ankles, dizziness, spinning sensation, changes in your menstrual periods, headache, mild muscle pain, weakness, stomach discomfort, bloating",10
MethylPREDNISolone Dose Pack,methylprednisolone dose pack,Asthma,asthma,methylprednisolone (oral),Glucocorticoids,methylprednisolone dose pack asthma methylprednisolone (oral) glucocorticoids,methylprednisolone dose pack asthma methylprednisolone glucocorticoid,"headache, dizziness, constipation, weight gain, cough, muscle pain, swelling, bruising, depression, blurred vision",10
triamcinolone,triamcinolone,Asthma,asthma,triamcinolone (oral),Glucocorticoids,triamcinolone asthma triamcinolone (oral) glucocorticoids,triamcinolone asthma triamcinolone glucocorticoid,"nausea, vomiting, headache, dizziness, insomnia, weight gain, cough, stomach pain, swelling, bruising, chest pain, anxiety, depression, confusion, blurred vision",15
Dexamethasone Intensol,dexamethasone intensol,Asthma,asthma,dexamethasone (oral route),Glucocorticoids,dexamethasone intensol asthma dexamethasone (oral route) glucocorticoids,dexamethasone intensol asthma dexamethasone glucocorticoid,"nausea, vomiting, diarrhea, headache, dizziness, rash, fatigue, dry mouth, weight gain, weight loss, fever, cough, muscle pain, swelling, skin rash, appetite loss, anxiety, depression, blurred vision",19
Kenalog-40,kenalog-40,Asthma,asthma,triamcinolone (injection),Glucocorticoids,kenalog-40 asthma triamcinolone (injection) glucocorticoids,kenalog-40 asthma triamcinolone glucocorticoid,"nausea, vomiting, diarrhea, headache, dizziness, insomnia, weight gain, fever, cough, stomach pain, swelling, bruising, depression, blurred vision",14
Medrol Dosepak,medrol dosepak,Asthma,asthma,methylprednisolone (oral),Glucocorticoids,medrol dosepak asthma methylprednisolone (oral) glucocorticoids,medrol dosepak asthma methylprednisolone glucocorticoid,"headache, dizziness, constipation, weight gain, cough, muscle pain, swelling, bruising, depression, blurred vision",10
Depo-Medrol,depo-medrol,Asthma,asthma,methylprednisolone (injection),Glucocorticoids,depo-medrol asthma methylprednisolone (injection) glucocorticoids,depo-medrol asthma methylprednisolone glucocorticoid,"nausea, vomiting, headache, constipation, weight gain, cough, muscle pain, swelling, depression, blurred vision",10
Solu-Medrol,solu-medrol,Asthma,asthma,methylprednisolone (injection),Glucocorticoids,solu-medrol asthma methylprednisolone (injection) glucocorticoids,solu-medrol asthma methylprednisolone glucocorticoid,"nausea, vomiting, headache, constipation, weight gain, cough, muscle pain, swelling, depression, blurred vision",10
Xopenex,xopenex,Asthma,asthma,levalbuterol inhalation,Adrenergic bronchodilators,xopenex asthma levalbuterol inhalation adrenergic bronchodilators,xopenex asthma levalbuterol inhalation adrenergic bronchodilator,"dizziness, nervousness, tremors, runny nose, sore throat, chest pain, tightness, irregular heartbeats, pain, vomiting",10
Xopenex HFA,xopenex hfa,Asthma,asthma,levalbuterol inhalation,Adrenergic bronchodilators,xopenex hfa asthma levalbuterol inhalation adrenergic bronchodilators,xopenex hfa asthma levalbuterol inhalation adrenergic bronchodilator,"vomiting, dizziness, constipation, swelling, chest pain, tremor",6
caffeine,caffeine,Asthma,asthma,"Caffeine Brand names: NoDoz , Vivarin , Revive, Stay Awake , Enerjets, Lucidex",CNS stimulants,"caffeine asthma caffeine brand names: nodoz , vivarin , revive, stay awake , enerjets, lucidex cns stimulants",caffeine asthma caffeine brand name nodoz vivarin revive stay awake enerjets lucidex cns stimulant,"nausea, vomiting, diarrhea, headache, rash, itching, insomnia, swelling, chest pain, anxiety",10
ciclesonide,ciclesonide,Asthma,asthma,ciclesonide (inhalation),Inhaled corticosteroids,ciclesonide asthma ciclesonide (inhalation) inhaled corticosteroids,ciclesonide asthma ciclesonide inhaled corticosteroid,"unpleasant taste in your mouth, dry mouth, burning, irritation in your mouth, runny, stuffy nose, sore throat, hoarse voice, mild itching, skin rash, joint pain, back pain, headache",13
De-Sone LA,de-sone la,Asthma,asthma,dexamethasone (injection),Glucocorticoids,de-sone la asthma dexamethasone (injection) glucocorticoids,de-sone la asthma dexamethasone glucocorticoid,"nausea, vomiting, headache, dizziness, constipation, weight gain, fever, cough, swelling, bruising, blurred vision",11
dyphylline / guaifenesin,dyphylline / guaifenesin,Asthma,asthma,dyphylline and guaifenesin,Antiasthmatic combinations,dyphylline / guaifenesin asthma dyphylline and guaifenesin antiasthmatic combinations,dyphylline guaifenesin asthma dyphylline guaifenesin antiasthmatic combination,"nausea, vomiting, diarrhea, headache, insomnia, cough, stomach pain, swelling",8
Ipratropium Inhalation Aerosol,ipratropium inhalation aerosol,Asthma,asthma,Ipratropium Inhalation Aerosol,Anticholinergic bronchodilators,ipratropium inhalation aerosol asthma ipratropium inhalation aerosol anticholinergic bronchodilators,ipratropium inhalation aerosol asthma ipratropium inhalation aerosol anticholinergic bronchodilator,"dizziness, rash, itching, fever, cough, stomach pain, swelling",7
Cinqair,cinqair,Asthma,asthma,reslizumab,Interleukin inhibitors,cinqair asthma reslizumab interleukin inhibitors,cinqair asthma reslizumab interleukin inhibitor,"sore throat, muscle pain",2
reslizumab,reslizumab,Asthma,asthma,reslizumab,Interleukin inhibitors,reslizumab asthma reslizumab interleukin inhibitors,reslizumab asthma reslizumab interleukin inhibitor,"sore throat, muscle pain",2
salbutamol,salbutamol,Asthma,asthma,"salbutamol Brand names: Ventolin, Airomir, Asthalin, Asmatol, Azmasol, ... show all 8 brands SalAir, Salamol, Respigen and more",,"salbutamol asthma salbutamol brand names: ventolin, airomir, asthalin, asmatol, azmasol, ... show all 8 brands salair, salamol, respigen and more",salbutamol asthma salbutamol brand name ventolin airomir asthalin asmatol azmasol show brand salair salamol respigen,"too slow, due to heart problems such as angina",2
Xopenex Concentrate,xopenex concentrate,Asthma,asthma,levalbuterol inhalation,Adrenergic bronchodilators,xopenex concentrate asthma levalbuterol inhalation adrenergic bronchodilators,xopenex concentrate asthma levalbuterol inhalation adrenergic bronchodilator,"vomiting, dizziness, constipation, swelling, chest pain, tremor",6
Difil-G Forte,difil-g forte,Asthma,asthma,dyphylline and guaifenesin,Antiasthmatic combinations,difil-g forte asthma dyphylline and guaifenesin antiasthmatic combinations,difil-g forte asthma dyphylline guaifenesin antiasthmatic combination,"nausea, vomiting, diarrhea, headache, insomnia, cough, stomach pain, swelling",8
Lamictal,lamictal,Bipolar Disorder,bipolar disorder,lamotrigine,Triazine anticonvulsants,lamictal bipolar disorder lamotrigine triazine anticonvulsants,lamictal bipolar disorder lamotrigine triazine anticonvulsant,"headache, dizziness, blurred vision, double vision, tremor, loss of coordination, dry mouth, nausea, vomiting, stomach pain, diarrhea, fever, sore throat, runny nose, drowsiness, tired feeling, back pain, sleep problems",18
Latuda,latuda,Bipolar Disorder,bipolar disorder,lurasidone,Atypical antipsychotics,latuda bipolar disorder lurasidone atypical antipsychotics,latuda bipolar disorder lurasidone atypical antipsychotic,"drowsiness, weight gain, tremors, muscle stiffness, slow muscle movement, feeling restless, being unable to sit still, nausea, vomiting, runny nose, sleep problems",11
Seroquel,seroquel,Bipolar Disorder,bipolar disorder,quetiapine,Atypical antipsychotics,seroquel bipolar disorder quetiapine atypical antipsychotics,seroquel bipolar disorder quetiapine atypical antipsychotic,"speech problems, dizziness, drowsiness, tiredness, lack of energy, fast heartbeats, stuffy nose, increased appetite, weight gain, upset stomach, vomiting, constipation, dry mouth, problems moving",14
Abilify,abilify,Bipolar Disorder,bipolar disorder,aripiprazole (oral),Atypical antipsychotics,abilify bipolar disorder aripiprazole (oral) atypical antipsychotics,abilify bipolar disorder aripiprazole atypical antipsychotic,"blurred vision, increased saliva, drooling, muscle stiffness, uncontrolled muscle movements, shaking, anxiety, feeling restless, weight gain, nausea, vomiting, constipation, increased, decreased appetite, headache, dizziness, drowsiness, feeling tired, sleep problems, cold symptoms such as stuffy nose, sneezing, sore throat",22
topiramate,topiramate,Bipolar Disorder,bipolar disorder,topiramate,Carbonic anhydrase inhibitor anticonvulsants,topiramate bipolar disorder topiramate carbonic anhydrase inhibitor anticonvulsants,topiramate bipolar disorder topiramate carbonic anhydrase inhibitor anticonvulsant,"dizziness, drowsiness, tiredness, slow reactions, problems with speech, memory, abnormal vision, numbness, tingling in your arms and legs, decreased sensation, changes in your sense of taste, feeling nervous, nausea, diarrhea, stomach pain, loss of appetite, fever, weight loss, cold symptoms such as stuffy nose, sneezing, sore throat",21
Vraylar,vraylar,Bipolar Disorder,bipolar disorder,cariprazine,Atypical antipsychotics,vraylar bipolar disorder cariprazine atypical antipsychotics,vraylar bipolar disorder cariprazine atypical antipsychotic,"involuntary muscle movements, upset stomach, vomiting, drowsiness, feeling restless",5
lithium,lithium,Bipolar Disorder,bipolar disorder,lithium,Antimanic agents,lithium bipolar disorder lithium antimanic agents,lithium bipolar disorder lithium antimanic agent,"dizziness, drowsiness, tremors in your hands, trouble walking, dry mouth, increased thirst, urination, nausea, vomiting, loss of appetite, rash, blurred vision",12
lurasidone,lurasidone,Bipolar Disorder,bipolar disorder,lurasidone,Atypical antipsychotics,lurasidone bipolar disorder lurasidone atypical antipsychotics,lurasidone bipolar disorder lurasidone atypical antipsychotic,"drowsiness, weight gain, tremors, muscle stiffness, slow muscle movement, feeling restless, being unable to sit still, nausea, vomiting, runny nose, sleep problems",11
Abilify Maintena,abilify maintena,Bipolar Disorder,bipolar disorder,aripiprazole,Atypical antipsychotics,abilify maintena bipolar disorder aripiprazole atypical antipsychotics,abilify maintena bipolar disorder aripiprazole atypical antipsychotic,"weight gain, fever, confusion",3
cariprazine,cariprazine,Bipolar Disorder,bipolar disorder,cariprazine,Atypical antipsychotics,cariprazine bipolar disorder cariprazine atypical antipsychotics,cariprazine bipolar disorder cariprazine atypical antipsychotic,"involuntary muscle movements, upset stomach, vomiting, drowsiness, feeling restless",5
Caplyta,caplyta,Bipolar Disorder,bipolar disorder,lumateperone,Atypical antipsychotics,caplyta bipolar disorder lumateperone atypical antipsychotics,caplyta bipolar disorder lumateperone atypical antipsychotic,"weight gain, nausea, dizziness, drowsiness, dry mouth",5
lumateperone,lumateperone,Bipolar Disorder,bipolar disorder,lumateperone,Atypical antipsychotics,lumateperone bipolar disorder lumateperone atypical antipsychotics,lumateperone bipolar disorder lumateperone atypical antipsychotic,"weight gain, nausea, dizziness, drowsiness, dry mouth",5
Lybalvi,lybalvi,Bipolar Disorder,bipolar disorder,olanzapine and samidorphan,Psychotherapeutic combinations,lybalvi bipolar disorder olanzapine and samidorphan psychotherapeutic combinations,lybalvi bipolar disorder olanzapine samidorphan psychotherapeutic combination,"headache, dizziness, rash, constipation, dry mouth, weight gain, fever, back pain, confusion",9
quetiapine,quetiapine,Bipolar Disorder,bipolar disorder,"quetiapine Brand names: Seroquel , Seroquel XR",Atypical antipsychotics,"quetiapine bipolar disorder quetiapine brand names: seroquel , seroquel xr atypical antipsychotics",quetiapine bipolar disorder quetiapine brand name seroquel seroquel xr atypical antipsychotic,"nausea, vomiting, dizziness, fatigue, drowsiness, insomnia, constipation, dry mouth, weight gain, fever, confusion",11
Depakote,depakote,Bipolar Disorder,bipolar disorder,divalproex sodium,Fatty acid derivative anticonvulsants,depakote bipolar disorder divalproex sodium fatty acid derivative anticonvulsants,depakote bipolar disorder divalproex sodium fatty acid derivative anticonvulsant,"nausea, vomiting, stomach pain, diarrhea, constipation, headache, back pain, dizziness, drowsiness, weakness, tremors, memory problems, mood changes, trouble sleeping, bruising, bleeding, runny nose, sore throat, cough, wheezing, trouble breathing, fever, flu symptoms, problems with walking, coordination, swelling in your hands, feet, blurred vision, double vision, unusual eye movements, ringing in your ears, rash, hair loss, changes in weight, appetite",35
Seroquel XR,seroquel xr,Bipolar Disorder,bipolar disorder,quetiapine,Atypical antipsychotics,seroquel xr bipolar disorder quetiapine atypical antipsychotics,seroquel xr bipolar disorder quetiapine atypical antipsychotic,"vomiting, dizziness, drowsiness, constipation, dry mouth, weight gain, fever, cough, tremor, anxiety, confusion, blurred vision",12
divalproex sodium,divalproex sodium,Bipolar Disorder,bipolar disorder,divalproex sodium,Fatty acid derivative anticonvulsants,divalproex sodium bipolar disorder divalproex sodium fatty acid derivative anticonvulsants,divalproex sodium bipolar disorder divalproex sodium fatty acid derivative anticonvulsant,"nausea, vomiting, diarrhea, headache, dizziness, rash, drowsiness, constipation, fever, cough, stomach pain, swelling, bleeding, bruising, hair loss, skin rash, back pain, tremor, anxiety, depression, confusion, blurred vision",22
Risperdal,risperdal,Bipolar Disorder,bipolar disorder,risperidone (oral),Atypical antipsychotics,risperdal bipolar disorder risperidone (oral) atypical antipsychotics,risperdal bipolar disorder risperidone atypical antipsychotic,"headache, dizziness, drowsiness, feeling tired, tremors, twitching, uncontrollable muscle movements, agitation, anxiety, restless feeling, depressed mood, dry mouth, upset stomach, diarrhea, constipation, weight gain, cold symptoms such as stuffy nose, sneezing, sore throat",19
Geodon,geodon,Bipolar Disorder,bipolar disorder,ziprasidone,Atypical antipsychotics,geodon bipolar disorder ziprasidone atypical antipsychotics,geodon bipolar disorder ziprasidone atypical antipsychotic,"dizziness, drowsiness, weakness, headache, nausea, vomiting, trouble swallowing, weight gain, feeling restless, being unable to sit still, tremors, involuntary muscle movements, vision problems, runny nose, new, worsening cough",16
sertraline,sertraline,Bipolar Disorder,bipolar disorder,sertraline,Selective serotonin reuptake inhibitors,sertraline bipolar disorder sertraline selective serotonin reuptake inhibitors,sertraline bipolar disorder sertraline selective serotonin reuptake inhibitor,"indigestion, nausea, diarrhea, loss of appetite, loose stool, increased sweating, tremors, sexual problems",8
Zyprexa,zyprexa,Bipolar Disorder,bipolar disorder,olanzapine (oral),Atypical antipsychotics,zyprexa bipolar disorder olanzapine (oral) atypical antipsychotics,zyprexa bipolar disorder olanzapine atypical antipsychotic,"weight gain, increased appetite, headache, dizziness, drowsiness, feeling tired, restless, problems with speech, memory, tremors, shaking, numbness, tingly feeling, changes in personality, dry mouth, increased salivation, stomach pain, constipation, pain in your arms, legs",20
